gt,set
The metabolism of DB00604 can be decreased when combined with DB01095.,training
The metabolism of DB00604 can be decreased when combined with DB01097.,training
The metabolism of DB00250 can be decreased when combined with DB06414.,training
The metabolism of DB00250 can be decreased when combined with DB06413.,testing
The metabolism of DB00359 can be decreased when combined with DB00257.,training
The metabolism of DB00359 can be decreased when combined with DB00254.,training
The metabolism of DB01136 can be decreased when combined with DB00333.,training
The metabolism of DB06268 can be decreased when combined with DB06414.,training
The metabolism of DB01206 can be decreased when combined with DB00932.,validation
The metabolism of DB00199 can be decreased when combined with DB01072.,training
The metabolism of DB00980 can be decreased when combined with DB00736.,validation
The metabolism of DB00857 can be decreased when combined with DB01015.,training
The metabolism of DB00604 can be decreased when combined with DB04572.,training
The metabolism of DB08868 can be decreased when combined with DB00705.,testing
The metabolism of DB00924 can be decreased when combined with DB00343.,training
The metabolism of DB00802 can be decreased when combined with DB01026.,training
The metabolism of DB00924 can be decreased when combined with DB00349.,training
The metabolism of DB04938 can be decreased when combined with DB00951.,testing
The metabolism of DB00997 can be decreased when combined with DB00246.,testing
The metabolism of DB06770 can be decreased when combined with DB00349.,training
The metabolism of DB06770 can be decreased when combined with DB00343.,training
The metabolism of DB06204 can be decreased when combined with DB01601.,training
The metabolism of DB00806 can be decreased when combined with DB00215.,training
The metabolism of DB01041 can be decreased when combined with DB00446.,testing
The metabolism of DB01118 can be decreased when combined with DB00582.,training
The metabolism of DB09291 can be decreased when combined with DB04855.,training
The metabolism of DB00683 can be decreased when combined with DB01104.,validation
The metabolism of DB00699 can be decreased when combined with DB00679.,training
The metabolism of DB01175 can be decreased when combined with DB00176.,training
The metabolism of DB00307 can be decreased when combined with DB00188.,training
The metabolism of DB00338 can be decreased when combined with DB00254.,validation
The metabolism of DB00338 can be decreased when combined with DB00257.,validation
The metabolism of DB01114 can be decreased when combined with DB04868.,training
The metabolism of DB00401 can be decreased when combined with DB06636.,training
The metabolism of DB06282 can be decreased when combined with DB08865.,training
The metabolism of DB01023 can be decreased when combined with DB01319.,training
The metabolism of DB04840 can be decreased when combined with DB00908.,training
The metabolism of DB06739 can be decreased when combined with DB00736.,training
The metabolism of DB01211 can be decreased when combined with DB00254.,training
The metabolism of DB01396 can be decreased when combined with DB00196.,validation
The metabolism of DB06292 can be decreased when combined with DB08816.,training
The metabolism of DB00647 can be decreased when combined with DB00263.,training
The metabolism of DB04572 can be decreased when combined with DB08865.,training
The metabolism of DB01149 can be decreased when combined with DB01403.,testing
The metabolism of DB04840 can be decreased when combined with DB00907.,training
The metabolism of DB00991 can be decreased when combined with DB00224.,training
The metabolism of DB00991 can be decreased when combined with DB00227.,training
The metabolism of DB00490 can be decreased when combined with DB00976.,training
The metabolism of DB01175 can be decreased when combined with DB00283.,training
The metabolism of DB04574 can be decreased when combined with DB01149.,training
The metabolism of DB06737 can be decreased when combined with DB08816.,training
The metabolism of DB00943 can be decreased when combined with DB00283.,training
The metabolism of DB05541 can be decreased when combined with DB00625.,training
The metabolism of DB00998 can be decreased when combined with DB06290.,training
The metabolism of DB08901 can be decreased when combined with DB00420.,training
The metabolism of DB05541 can be decreased when combined with DB00622.,training
The metabolism of DB00943 can be decreased when combined with DB00289.,training
The metabolism of DB00317 can be decreased when combined with DB00715.,testing
The metabolism of DB13874 can be decreased when combined with DB08873.,training
The metabolism of DB00688 can be decreased when combined with DB00188.,training
The metabolism of DB00313 can be decreased when combined with DB08816.,training
The metabolism of DB09396 can be decreased when combined with DB00188.,training
The metabolism of DB08798 can be decreased when combined with DB00582.,training
The metabolism of DB04938 can be decreased when combined with DB08816.,training
The metabolism of DB00865 can be decreased when combined with DB00254.,training
The metabolism of DB00784 can be decreased when combined with DB00224.,validation
The metabolism of DB00865 can be decreased when combined with DB00257.,training
The metabolism of DB00696 can be decreased when combined with DB00976.,validation
The metabolism of DB06739 can be decreased when combined with DB05521.,training
The metabolism of DB00461 can be decreased when combined with DB00379.,training
